Woche,Tag,Slot,Titel,Kategorie,Tareno Feature,Status,Inspiration,
Woche 3,Sa,1 (Quick Win),Alte Posts recyceln: Evergreen Content finden,Produktivität,Repost Queue + Evergreen Repurposing,Offen,"[MeetEdgar] Evergreen Posts, New Audiences: How Native Discovery Ads Supercharge Your Social Content | [MeetEdgar] 20 Ideas for Holiday Social Media Posts to Fill Your Content Calendar This Season [2025 UPDATED] | [Buffer] My Content Rotation: 23 Best Newsletters for Marketers and Creators in 2026",
Woche 3,Sa,2 (Inspo),Meme-Marketing: Wann es lustig ist und wann peinlich,Inspiration,Media Library (GIFs),Offen,General Research,
Woche 3,So,1 (Quick Win),Social Media Profilbild: Wann ist Zeit für ein Update?,Produktivität,Brand Kit,Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] Scared to Post on Social Media? Here&#x27;s What Actually Helped Us Start (ft. Creators from Buffer) | [Buffer] 7 Tips for Managing Multiple Social Media Accounts Like a Pro,
Woche 3,So,2 (Inspo),Frage-Sticker Ideen für mehr Engagement,Inspiration,Content Ideas Modul,Offen,[Hootsuite] Machen sie ihrem facebook marketing dampf 7 tipps fuer mehr engagement auf facebook | [Hootsuite] Mehr engagement auf instagram | [Buffer] Replying to Your Instagram Comments Can Boost Engagement by 21%,
Woche 4,Mo,1 (News),Agentur-News: Stundensätze für Social Media Manager steigen,News & Trends,,Offen,[MeetEdgar] What is a Social Media Manager? (And Why You Need One) | [Hootsuite] Fit fuer die zukunft social media manager jetzt koennen muessen | [Hootsuite] Facebook fehler die man als social media manager nicht machen sollte,
Woche 4,Mo,2 (Tool),Zeiterfassung für Freelancer: Tools die nerven sparen,Tools & KI,,Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [CoSchedule] How To Convince Your Marketing Team To Implement New Tools [Backed By Science] | [CoSchedule] Marketing Tech Stack: What It Takes to Choose The Right Tools (+ Template),
Woche 4,Mo,3 (Deep Dive),Pricing Guide für SMMs: Was darfst du 2026 verlangen?,Strategie,White-Label Reporting (Upsell),Offen,[SocialBee] How to get monetized on YouTube in 2026 (complete guide) | [MeetEdgar] Social Media 2026 Calendar | The Ultimate Social Media Holidays Guide | [MeetEdgar] How to Increase Instagram Followers: The 2026 Strategy Guide,
Woche 4,Di,1 (News),Remote Work Trends: Wie Agenturen heute arbeiten,News & Trends,Team Management,Offen,[CoSchedule] Marketing Checklists: How To Complete Work Right In The First Iteration (Examples & Templates) | [MeetEdgar] 14 Social Media Trends for 2026: The In&#x27;s and Outs | [MeetEdgar] Social Media Trends Small Businesses Should Try,
Woche 4,Di,2 (Tool),Collaboration Tools: Nie wieder Chaos im Postfach,Tools & KI,Ideas Boards (Kanban) + Team Collaboration,Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [CoSchedule] How To Convince Your Marketing Team To Implement New Tools [Backed By Science] | [CoSchedule] Marketing Tech Stack: What It Takes to Choose The Right Tools (+ Template),
Woche 4,Di,3 (Deep Dive),Kunden-Onboarding: Wie du professionell wirkst (Checkliste),Strategie,Workspaces + Permissions,Offen,[Hootsuite] Markenloyalitaet in den sozialen medien schaffen nutzen sie diese checkliste,
Woche 4,Mi,1 (News),Social Media Recht: Impressumspflicht auf Threads?,News & Trends,Compliance Check,Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] Scared to Post on Social Media? Here&#x27;s What Actually Helped Us Start (ft. Creators from Buffer) | [Buffer] 7 Tips for Managing Multiple Social Media Accounts Like a Pro,
Woche 4,Mi,2 (Tool),Rechtssichere Bilder finden: Stockfoto-Seiten im Test,Tools & KI,Media Library (Stock),Offen,General Research,
Woche 4,Mi,3 (Deep Dive),DSGVO & Social Media: Was du 2026 beachten musst,Strategie,Data Controls,Offen,[Buffer] The 4 Forces Shaping Social Media in 2026 (and What They Mean for Creators) | [SocialBee] (February 12) The Latest 2026 social media news | [MeetEdgar] Social Media 2026 Calendar | The Ultimate Social Media Holidays Guide,
Woche 4,Do,1 (News),Automatisierung vs. Authentizität: Die Debatte kocht hoch,News & Trends,,Offen,General Research,
Woche 4,Do,2 (Tool),Make.com vs. Zapier: Der große Vergleich für Marketer,Tools & KI,Developer API + Workflow Builder,Offen,[MeetEdgar] What Does a Digital Marketer Do?,
Woche 4,Do,3 (Deep Dive),Social Media Automation Masterclass: Prozesse skalieren,Strategie,Workflow Builder + Automations-Engine,Offen,"[MeetEdgar] How to Effectively Share Content on Social Media: Tips, Automation, and Tools | [Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] Scared to Post on Social Media? Here&#x27;s What Actually Helped Us Start (ft. Creators from Buffer)",
Woche 4,Fr,1 (News),Das Ende von Third-Party-Cookies: Was Marketer jetzt tun müssen,News & Trends,,Offen,[MeetEdgar] What Does a Digital Marketer Do? | [Hootsuite] Social media videos auf 4 top plattformen jetzt direkt auf dem hootsuite dashboard managen | [Hootsuite] Fit fuer die zukunft social media manager jetzt koennen muessen,
Woche 4,Fr,2 (Tool),Tracking ohne Cookies: Server-Side Tracking Tools,Tools & KI,,Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [CoSchedule] How To Convince Your Marketing Team To Implement New Tools [Backed By Science] | [CoSchedule] Marketing Tech Stack: What It Takes to Choose The Right Tools (+ Template),
Woche 4,Fr,3 (Deep Dive),ROI messen: Wie du Kunden beweist dass Social Media Geld bringt,Strategie,Advanced Analytics + White-Label Reporting,Offen,[Buffer] 14 AI Tools for Social Media Content Creation: My Workflow Guide | [Buffer] Scared to Post on Social Media? Here&#x27;s What Actually Helped Us Start (ft. Creators from Buffer) | [Buffer] 7 Tips for Managing Multiple Social Media Accounts Like a Pro,
Woche 4,Sa,1 (Quick Win),Ordnung im Datei-Chaos: Namenskonventionen für Assets,Produktivität,Media Library (Tagging),Offen,General Research,
Woche 4,Sa,2 (Inspo),Behind the Scenes: Zeig dein Home Office,Inspiration,,Offen,"[Buffer] Our 7th Profit Share: Behind the $377,005 We Distributed to the Buffer Team",
Woche 4,So,1 (Quick Win),E-Mail Signatur optimieren: Link zu Socials nicht vergessen,Produktivität,Links Modul (Bio Link),Offen,[CoSchedule] Elevate Your Email Game: How To Write An Email That Gets Results | [Hootsuite] 12 tipps wie sie ihre social media profile in weniger als einer stunde optimieren koennen | [Hootsuite] Mehr aus snapchat herausholen features die sie noch gar nicht kannten oder noch nicht ausprobiert haben 2,
Woche 4,So,2 (Inspo),Monatsrückblick: Deine Top-Posts analysieren,Inspiration,Reports Center,Offen,General Research,
